created_at,entry_id,field1,field2
2026-07-10 20:50:34 UTC,8793,4.64444,0.46444
2026-07-10 20:50:54 UTC,8794,4.62027,0.46203
2026-07-10 20:51:15 UTC,8795,4.60415,0.46042
2026-07-10 20:51:37 UTC,8796,4.58266,0.45827
2026-07-10 20:51:57 UTC,8797,4.55580,0.45558
2026-07-10 20:52:18 UTC,8798,4.52625,0.45263
2026-07-10 20:52:39 UTC,8799,4.51013,0.45101
2026-07-10 20:52:59 UTC,8800,4.47790,0.44779
2026-07-10 20:53:20 UTC,8801,4.46715,0.44672
2026-07-10 20:53:41 UTC,8802,4.43492,0.44349
2026-07-10 20:54:01 UTC,8803,4.42418,0.44242
2026-07-10 20:54:22 UTC,8804,4.40000,0.44000
2026-07-10 20:54:43 UTC,8805,4.39194,0.43919
2026-07-10 20:55:04 UTC,8806,4.35433,0.43543
2026-07-10 20:55:24 UTC,8807,4.34359,0.43436
2026-07-10 20:55:45 UTC,8808,4.32210,0.43221
2026-07-10 20:56:05 UTC,8809,4.29792,0.42979
2026-07-10 20:56:26 UTC,8810,4.29255,0.42926
2026-07-10 20:56:47 UTC,8811,4.25763,0.42576
2026-07-10 20:57:07 UTC,8812,4.23077,0.42308
2026-07-10 20:57:28 UTC,8813,4.21734,0.42173
2026-07-10 20:57:48 UTC,8814,4.19853,0.41985
2026-07-10 20:58:09 UTC,8815,4.12332,0.41233
2026-07-10 20:58:30 UTC,8816,4.12332,0.41233
2026-07-10 20:58:51 UTC,8817,4.12332,0.41233
2026-07-10 20:59:11 UTC,8818,4.10989,0.41099
2026-07-10 20:59:32 UTC,8819,4.08303,0.40830
2026-07-10 20:59:53 UTC,8820,4.06422,0.40642
2026-07-10 21:00:13 UTC,8821,4.04005,0.40400
2026-07-10 21:00:34 UTC,8822,4.01587,0.40159
2026-07-10 21:00:55 UTC,8823,3.99707,0.39971
2026-07-10 21:01:15 UTC,8824,3.98901,0.39890
2026-07-10 21:01:36 UTC,8825,3.95946,0.39595
2026-07-10 21:01:56 UTC,8826,3.94603,0.39460
2026-07-10 21:02:17 UTC,8827,3.93797,0.39380
2026-07-10 21:02:38 UTC,8828,3.90842,0.39084
2026-07-10 21:02:59 UTC,8829,3.89231,0.38923
2026-07-10 21:03:20 UTC,8830,3.87619,0.38762
2026-07-10 21:03:40 UTC,8831,3.85201,0.38520
2026-07-10 21:04:01 UTC,8832,3.82784,0.38278
2026-07-10 21:04:22 UTC,8833,3.81172,0.38117
2026-07-10 21:04:42 UTC,8834,3.78486,0.37849
2026-07-10 21:05:03 UTC,8835,3.76606,0.37661
2026-07-10 21:05:24 UTC,8836,3.74725,0.37473
2026-07-10 21:05:44 UTC,8837,3.73382,0.37338
2026-07-10 21:06:05 UTC,8838,3.70965,0.37096
2026-07-10 21:06:26 UTC,8839,3.69890,0.36989
2026-07-10 21:06:47 UTC,8840,3.66667,0.36667
2026-07-10 21:07:07 UTC,8841,3.65324,0.36532
2026-07-10 21:07:28 UTC,8842,3.63443,0.36344
2026-07-10 21:07:48 UTC,8843,3.61832,0.36183
2026-07-10 21:08:09 UTC,8844,3.59683,0.35968
2026-07-10 21:08:30 UTC,8845,3.58071,0.35807
2026-07-10 21:08:51 UTC,8846,3.56459,0.35646
2026-07-10 21:09:12 UTC,8847,3.54042,0.35404
2026-07-10 21:09:32 UTC,8848,3.51893,0.35189
2026-07-10 21:09:53 UTC,8849,3.49475,0.34947
2026-07-10 21:10:13 UTC,8850,3.48400,0.34840
2026-07-10 21:10:34 UTC,8851,3.46789,0.34679
2026-07-10 21:10:55 UTC,8852,3.43834,0.34383
2026-07-10 21:11:15 UTC,8853,3.43028,0.34303
2026-07-10 21:11:36 UTC,8854,3.40342,0.34034
2026-07-10 21:11:57 UTC,8855,3.39267,0.33927
2026-07-10 21:12:17 UTC,8856,3.37656,0.33766
2026-07-10 21:12:38 UTC,8857,3.34432,0.33443
2026-07-10 21:12:58 UTC,8858,3.32552,0.33255
2026-07-10 21:13:19 UTC,8859,3.30940,0.33094
2026-07-10 21:13:40 UTC,8860,3.29597,0.32960
2026-07-10 21:14:00 UTC,8861,3.26911,0.32691
2026-07-10 21:14:21 UTC,8862,3.25568,0.32557
2026-07-10 21:14:42 UTC,8863,3.22344,0.32234
2026-07-10 21:15:02 UTC,8864,3.21270,0.32127
2026-07-10 21:15:23 UTC,8865,3.18315,0.31832
2026-07-10 21:15:43 UTC,8866,3.16703,0.31670
2026-07-10 21:16:04 UTC,8867,3.14017,0.31402
2026-07-10 21:16:25 UTC,8868,3.12943,0.31294
2026-07-10 21:16:45 UTC,8869,3.10794,0.31079
2026-07-10 21:17:06 UTC,8870,3.08913,0.30891
2026-07-10 21:17:27 UTC,8871,3.06496,0.30650
2026-07-10 21:17:47 UTC,8872,3.05153,0.30515
2026-07-10 21:18:08 UTC,8873,3.02735,0.30274
2026-07-10 21:18:28 UTC,8874,3.00855,0.30085
2026-07-10 21:18:50 UTC,8875,2.99512,0.29951
2026-07-10 21:19:10 UTC,8876,2.97094,0.29709
2026-07-10 21:19:31 UTC,8877,2.95214,0.29521
2026-07-10 21:19:52 UTC,8878,2.93602,0.29360
2026-07-10 21:20:13 UTC,8879,2.92259,0.29226
2026-07-10 21:20:34 UTC,8880,2.89304,0.28930
2026-07-10 21:20:54 UTC,8881,2.87692,0.28769
2026-07-10 21:21:15 UTC,8882,2.86349,0.28635
2026-07-10 21:21:35 UTC,8883,2.84200,0.28420
2026-07-10 21:21:56 UTC,8884,2.81245,0.28125
2026-07-10 21:22:17 UTC,8885,2.79365,0.27937
2026-07-10 21:22:37 UTC,8886,2.78022,0.27802
2026-07-10 21:22:58 UTC,8887,2.74530,0.27453
2026-07-10 21:23:18 UTC,8888,2.71575,0.27158
2026-07-10 21:23:39 UTC,8889,2.70769,0.27077
2026-07-10 21:24:00 UTC,8890,2.68352,0.26835
2026-07-10 21:24:20 UTC,8891,2.65934,0.26593
2026-07-10 21:24:41 UTC,8892,2.63785,0.26379
